"","sex","birth","marriage","religion","income","code_job","code_region"
"608",1,1969,1,2,563,311,2
"609",2,1973,1,1,569,252,2
"610",2,2000,0,2,NA,NA,2
"611",1,2003,0,2,NA,NA,2
"612",2,1943,3,2,111,941,1
"613",1,1969,1,2,589,411,1
"614",2,1972,1,2,192,259,1
"615",2,2000,0,2,NA,NA,1
"616",2,2002,0,2,NA,NA,1
"617",1,1975,1,2,NA,852,1
"618",2,1976,1,2,NA,312,1
"619",1,2004,0,2,NA,NA,1
"620",1,2009,0,2,NA,NA,1
"621",2,1939,2,1,NA,NA,1
"622",1,1969,5,1,NA,NA,1
"623",1,1956,1,2,NA,NA,1
"624",2,1958,1,2,NA,NA,1
"625",2,1963,5,2,NA,442,3
"626",1,1948,1,1,NA,NA,1
"627",2,1954,1,1,NA,NA,1
"628",2,1979,1,2,NA,NA,1
"629",1,1979,1,2,333,873,1
"630",2,2011,0,2,NA,NA,1
"631",1,2013,0,2,NA,NA,1
"632",1,1957,1,1,265,773,1
"633",2,1955,1,1,NA,NA,1
"634",1,1968,1,2,683,223,1
"635",2,1971,1,2,NA,NA,1
"636",1,1999,5,2,NA,NA,1
"637",1,1958,2,2,NA,773,1
"638",2,1990,5,2,452,241,1
"639",1,1993,5,2,NA,NA,1
"640",2,1962,2,2,217,391,1
"641",2,1986,5,2,70,254,1
"642",1,1990,5,2,NA,NA,1
"643",2,1950,5,2,NA,NA,1
"644",1,1933,1,1,NA,NA,1
"645",2,1939,1,1,NA,NA,1
"646",1,1965,5,1,NA,NA,1
"647",2,1940,2,1,NA,NA,1
"648",1,1969,3,2,NA,NA,1
"649",1,1942,3,1,NA,941,1
"650",1,1975,1,2,NA,510,1
"651",2,1980,1,2,NA,NA,1
"652",1,2007,0,2,NA,NA,1
"653",2,2009,0,2,NA,NA,1
"654",1,1935,1,1,NA,NA,1
"655",2,1942,1,1,NA,NA,1
"656",1,1973,1,1,NA,873,1
"657",2,1976,1,1,NA,NA,1
"658",1,1935,1,2,NA,NA,1
"659",2,1941,1,2,NA,NA,1
"660",1,1926,2,1,NA,NA,1
"661",1,1949,1,2,NA,NA,1
"662",2,1955,1,1,NA,NA,1
"663",2,1990,5,1,136,312,1
"664",1,1937,1,1,NA,NA,2
"665",2,1936,1,1,NA,NA,2
"666",2,1988,5,1,300,521,2
"667",2,1990,5,1,250,521,2
"668",2,1992,5,1,150,521,2
"669",1,1954,1,2,250,922,2
"670",2,1960,1,1,127,941,2
"671",1,1995,5,1,NA,441,2
"672",2,1934,2,1,NA,NA,1
"673",1,1963,5,1,NA,NA,1
"674",1,1968,5,2,NA,773,1
"675",2,1945,2,2,NA,NA,1
"676",1,1993,5,2,170,761,1
"677",1,1970,5,2,NA,NA,1
"678",1,1970,5,2,105,752,1
"679",1,1975,1,2,354,141,1
"680",2,1968,1,1,NA,NA,1
"681",2,2005,0,1,NA,NA,1
"682",2,2007,0,1,NA,NA,1
"683",2,1971,5,2,401,133,1
"684",1,1946,1,1,NA,NA,1
"685",2,1951,1,1,NA,NA,1
"686",2,1979,1,1,433,311,1
"687",1,1978,1,1,454,311,1
"688",2,2007,0,1,NA,NA,1
"689",1,2010,0,1,NA,NA,1
"690",1,1945,1,1,NA,NA,2
"691",2,1951,1,1,170,246,2
"692",2,1970,4,2,176,521,1
"693",2,1999,5,2,NA,399,1
"694",2,1933,2,1,NA,NA,2
"695",1,1995,5,2,218,899,2
"696",1,1947,1,2,NA,NA,1
"697",2,1942,1,1,NA,NA,1
"698",1,1993,5,2,NA,NA,1
"699",2,1995,5,2,162,442,1
"700",2,1942,2,2,NA,NA,1
"701",1,1961,5,2,NA,NA,1
"702",1,1932,1,2,NA,NA,1
"703",2,1939,1,2,NA,NA,1
"704",2,1978,5,2,NA,NA,1
"705",1,1983,5,2,NA,159,1
"706",2,1927,2,2,NA,NA,1
"707",1,1945,1,2,150,910,1
"708",2,1951,1,2,NA,NA,1
"709",2,1965,3,2,231,441,1
"710",2,1986,5,2,230,286,1
"711",1,1945,1,2,NA,NA,1
"712",2,1949,1,2,NA,NA,1
"713",1,1968,1,2,NA,254,2
"714",2,1969,1,2,NA,254,2
"715",1,1959,1,2,250,873,2
"716",2,1960,1,1,NA,NA,2
"717",2,1986,1,2,110,399,2
"718",1,1980,1,2,NA,431,2
"719",2,2015,0,2,NA,NA,2
"720",1,1962,1,1,115,941,1
"721",2,1965,1,1,NA,NA,1
"722",2,1991,5,1,NA,NA,1
"723",1,1994,5,1,NA,NA,1
"724",1,1965,1,2,NA,811,1
